,episode,contracting,reward,number_contracts,episode_steps,reward_a0,accumulated_transfer_a0,greedy_a0,reward_a1,accumulated_transfer_a1,greedy_a1
250,250,True,-0.6000000000000003,0,64,-0.7900000000000001,0.0,0.0,0.18999999999999984,0.0,0.0
251,251,True,4.5,0,24,0.16179019212722776,0.0,0.0,4.338209807872772,0.0,0.0
252,252,True,-0.44000000000000017,0,44,-0.7100000000000001,0.0,0.0,0.2699999999999999,0.0,0.0
253,253,True,0.54,0,10,0.76,0.0,0.0,-0.21999999999999997,0.99,0.0
254,254,True,0.3599999999999999,0,24,-0.31000000000000005,0.0,0.0,0.6699999999999999,0.0,0.0
255,255,True,4.540000000000001,0,8,0.4457677793502808,0.0,0.0,4.09423222064972,0.0,0.0
256,256,True,0.2199999999999998,0,30,-0.38000000000000006,0.0,0.0,0.5999999999999999,0.0,0.0
257,257,True,4.54,0,20,0.8255739998817443,0.0,0.0,3.7144260001182556,0.0,0.0
258,258,True,4.16,0,30,4.58,0.0,0.0,-0.42000000000000004,0.0,0.0
259,259,True,4.460000000000001,0,12,-0.26999999999999996,0.0,0.0,4.73,0.0,0.0
260,260,True,4.28,0,18,4.640000000000001,0.0,0.0,-0.36,0.0,0.0
261,261,True,4.32,0,22,-0.34,0.0,0.0,4.66,0.0,0.0
262,262,True,4.220000000000001,0,38,3.0491192793846134,0.0,0.0,1.1708807206153868,0.0,0.0
263,263,True,3.9800000000000004,0,32,4.49,0.0,0.0,-0.51,0.0,0.0
264,264,True,4.16,0,36,4.58,0.0,0.0,-0.4200000000000001,0.0,0.0
265,265,True,4.48,0,18,4.74,0.0,0.0,-0.26,0.0,0.0
266,266,True,0.5,0,14,0.74,0.0,0.0,-0.24,0.99,0.0
267,267,True,0.6799999999999999,0,8,-0.14999999999999997,0.0,0.0,0.83,0.0,0.0
268,268,True,0.07999999999999985,0,38,-0.45000000000000007,0.99,0.0,0.5299999999999999,0.0,0.0
269,269,True,4.0,0,40,-0.5000000000000001,0.0,0.0,4.5,0.0,0.0
270,270,True,0.15999999999999992,0,42,0.57,0.0,0.0,-0.41000000000000003,0.0,0.0
271,271,True,0.5,0,14,0.74,0.0,0.0,-0.24,0.99,0.0
